iata_code,name
RB,Syrian Arab Air
RC,Atlantic Airways
RE,Stobart Air
RF,Florida West
RI,Air Costa Rica
RL,Royal Falcon
RM,Airco Armenia
RP,Chautauqua
RQ,Kam Air
RT,UVT Aero
RV,Air Canada Rouge
RW,RAS Fluggesellsc
RY,Royal Wings
RZ,Sansa Airlines
S0,Aero Lineas Sosa
S2,JetKonnect
S3,Santa Barbara
S4,SATA Intl
S6,Sunrise Airways
S8,Sounds Air
SA,South African
SB,Air Calin
SC,Shandong
SD,Sudan Airways
SE,XL Airways
SF,Tassili Air
SH,Sharp Airlines
SI,Blue Island
SJ,Sriwijaya Air
SM,Air Cairo
SO,APEX Airlines
SP,SATA Air Acores
SS,Corsair
ST,Germania
SW,Air Namibia
SX,Sky
SY,Sun Country
T0,TACA Peru
T2,Fly Art
T3,Eastern Airways
T5,Turkmenistan
T6,AirSWIFT
T7,Twin Jet
T8,Tran African Air
TD,Atlantis Europea
TF,BRA Sverige AB
TH,British Citiexpr
TI,Tropic Ocean
TJ,Tradewind
TL,AirNorth
TM,LAM
TQ,Tandem Aero
TT,Tigerair AU
TV,Tibet Airlines
TW,T Way Air Co
TY,Air Caledonie
U3,Sky Gates Airlin
U4,Buddha Air
U5,Karinou Airlines
U6,Ural Airlines
U7,Air Uganda
U8,TUS Airways
UB,Myanmar Airways
UC,LATAM Chile
UD,Hex Air
UE,BizAir
UF,Ukrainian Air
UG,Tunisair Express
UH,Atlasjet
UI,Eurocypria Air
UJ,Almasria Airline
UM,Air Zimbabwe
UP,Bahamasair
UQ,Urumqi Airlines
UT,UTAir
UU,Air Austral
UW,Universal
UY,Sky Pearl
UZ,Buraq Air
V0,Conviasa
V3,Carpatair
V5,Aerovias
V6,VI Airlink
V8,Iliamna Air Taxi
V9,CityWing
VC,ViaAir
VF,FlyViking
VG,VLM Airlines
VI,Volga Airlines
VL,Med View Airline
VM,Max Air
VO,VLM Airlines
VQ,Novo Air
VR,TACV Cabo Verde
VT,Air Tahiti
VU,VECA Airline
VW,Aeromar
VX,Virgin America
W3,Arik Air
W4,LC Busre SAC
W5,Mahan Air
W7,Wings of Lebanon
WA,KLM Cityhopper
WG,Sunwing
WH,Westair Benin
WI,White Airways
WK,Edelweiss Air
WM,Windward Island
WN,Southwest
WP,Island Air Hawai
WR,Westjet Encore
WT,Wasaya Airways
WU,Wizz Air Ukraine
WV,Aero VIP
WW,Wow Air
WX,City Jet
WZ,Red Wings
X3,TUIfly
X4,Air Excursions
X5,Afrique Airlines
X8,Icaro
X9,Avion Express
XA,Railroad
XB,IATA BSP
XD,Bus
XE,Express Jet
XG,SunExpress DE
XH,Other Travel
XI,Charter
XK,Air Corsica
XL,LATAM Ecuador
XN,Xpress Air
XO,SEAIR Int.
XP,TEM Enterprises
XR,Corendon Airline
XT,Indonesia AirAsi
XU,African Express
XW,NokScoot Airline
XZ,South African Ex
Y0,Yellow Air Taxi
